course_id,title,category,instructor,avg_rating,is_premium,duration_hours
C00032,Design Fundamentals 32,Design,Alya Putri,4.69,True,35
C00033,Design Fundamentals 33,Business,Citra Dewi,4.41,True,7
C00034,Design Fundamentals 34,Design,Bima Santoso,4.12,True,39
C00035,Programming Fundamentals 35,Marketing,Alya Putri,3.5,True,37
C00036,Data Science Fundamentals 36,Design,Dimas Pratama,4.47,False,38
C00037,Programming Fundamentals 37,Design,Alya Putri,3.79,False,39
C00038,Business Fundamentals 38,Marketing,Bima Santoso,3.76,True,3
C00039,Marketing Fundamentals 39,Marketing,Bima Santoso,4.06,True,25
C00040,Marketing Fundamentals 40,Marketing,Eka Wijaya,4.1,False,23
C00041,Programming Fundamentals 41,Business,Bima Santoso,3.93,False,24
C00042,Marketing Fundamentals 42,Business,Bima Santoso,4.32,False,26
C00043,Data Science Fundamentals 43,Business,Dimas Pratama,3.55,True,36
C00044,Business Fundamentals 44,Programming,Eka Wijaya,3.75,False,3
C00045,Design Fundamentals 45,Design,Dimas Pratama,3.8,True,10
C00046,Marketing Fundamentals 46,Programming,Bima Santoso,4.05,False,6
C00047,Programming Fundamentals 47,Data Science,Alya Putri,4.63,True,10
C00048,Business Fundamentals 48,Programming,Eka Wijaya,4.86,True,40
C00049,Design Fundamentals 49,Business,Citra Dewi,4.67,False,32
C00050,Programming Fundamentals 50,Programming,Bima Santoso,3.7,False,8
C00051,Business Fundamentals 51,Marketing,Dimas Pratama,4.96,False,8
C00052,Programming Fundamentals 52,Design,Alya Putri,4.23,False,2
C00053,Programming Fundamentals 53,Data Science,Eka Wijaya,4.71,False,22
C00054,Design Fundamentals 54,Design,Dimas Pratama,3.63,True,31
C00055,Design Fundamentals 55,Design,Eka Wijaya,4.47,True,7
C00056,Design Fundamentals 56,Data Science,Alya Putri,4.59,True,20
C00057,Design Fundamentals 57,Programming,Eka Wijaya,4.93,True,2
C00058,Business Fundamentals 58,Programming,Dimas Pratama,3.7,True,17
C00059,Data Science Fundamentals 59,Design,Citra Dewi,4.62,False,33
C00060,Marketing Fundamentals 60,Design,Citra Dewi,4.52,True,26
C00061,Business Fundamentals 61,Programming,Dimas Pratama,4.17,True,37
C00062,Business Fundamentals 62,Marketing,Citra Dewi,3.51,True,30
C00063,Marketing Fundamentals 63,Marketing,Bima Santoso,3.78,True,32
C00064,Business Fundamentals 64,Design,Citra Dewi,3.52,True,7
C00065,Business Fundamentals 65,Data Science,Dimas Pratama,3.86,True,12
C00066,Programming Fundamentals 66,Programming,Dimas Pratama,4.19,True,7
C00067,Data Science Fundamentals 67,Data Science,Eka Wijaya,3.74,False,4
C00068,Programming Fundamentals 68,Business,Alya Putri,4.98,False,25
C00069,Marketing Fundamentals 69,Design,Dimas Pratama,3.54,False,27
C00070,Data Science Fundamentals 70,Design,Eka Wijaya,3.95,True,13
C00071,Business Fundamentals 71,Programming,Citra Dewi,3.75,True,13
C00072,Data Science Fundamentals 72,Marketing,Alya Putri,3.7,False,30
C00073,Programming Fundamentals 73,Data Science,Eka Wijaya,4.75,False,36
C00074,Marketing Fundamentals 74,Programming,Dimas Pratama,4.33,False,16
C00075,Business Fundamentals 75,Design,Eka Wijaya,4.64,False,38
C00076,Programming Fundamentals 76,Programming,Citra Dewi,4.15,True,26
C00077,Marketing Fundamentals 77,Marketing,Eka Wijaya,4.45,True,6
C00078,Programming Fundamentals 78,Business,Bima Santoso,4.07,False,19
C00079,Marketing Fundamentals 79,Business,Alya Putri,4.62,True,27
C00080,Business Fundamentals 80,Marketing,Bima Santoso,4.38,False,31
C00081,Design Fundamentals 81,Business,Eka Wijaya,4.33,True,31
C00082,Programming Fundamentals 82,Marketing,Dimas Pratama,4.56,True,35
C00083,Data Science Fundamentals 83,Data Science,Dimas Pratama,4.0,True,23
C00084,Business Fundamentals 84,Programming,Citra Dewi,4.44,False,36
C00085,Data Science Fundamentals 85,Business,Bima Santoso,3.76,False,34
C00086,Programming Fundamentals 86,Programming,Dimas Pratama,4.36,True,2
C00087,Data Science Fundamentals 87,Data Science,Alya Putri,4.31,True,34
C00088,Business Fundamentals 88,Programming,Citra Dewi,4.37,True,13
C00089,Design Fundamentals 89,Marketing,Alya Putri,3.9,True,19
C00090,Marketing Fundamentals 90,Marketing,Dimas Pratama,4.38,False,11
C00091,Data Science Fundamentals 91,Programming,Dimas Pratama,4.37,True,33
C00092,Marketing Fundamentals 92,Data Science,Bima Santoso,4.79,False,24
C00093,Marketing Fundamentals 93,Data Science,Alya Putri,4.65,True,6
C00094,Business Fundamentals 94,Business,Bima Santoso,3.82,True,8
C00095,Business Fundamentals 95,Data Science,Eka Wijaya,3.97,False,39
C00096,Business Fundamentals 96,Marketing,Dimas Pratama,4.01,False,5
C00097,Programming Fundamentals 97,Programming,Eka Wijaya,4.17,False,30
C00098,Marketing Fundamentals 98,Data Science,Bima Santoso,4.9,True,35
C00099,Design Fundamentals 99,Data Science,Bima Santoso,3.91,True,2
C00100,Data Science Fundamentals 100,Data Science,Eka Wijaya,4.07,True,2
C00101,Programming Fundamentals 101,Marketing,Alya Putri,4.44,False,33
C00102,Programming Fundamentals 102,Programming,Alya Putri,4.91,False,24
C00103,Data Science Fundamentals 103,Design,Alya Putri,4.31,False,16
C00104,Design Fundamentals 104,Data Science,Dimas Pratama,4.0,True,20
C00105,Business Fundamentals 105,Marketing,Eka Wijaya,4.86,True,25
C00106,Design Fundamentals 106,Marketing,Dimas Pratama,4.74,False,34
C00107,Design Fundamentals 107,Data Science,Bima Santoso,4.97,True,40
C00108,Data Science Fundamentals 108,Data Science,Bima Santoso,4.9,True,33
C00109,Programming Fundamentals 109,Programming,Eka Wijaya,3.97,False,8
C00110,Business Fundamentals 110,Marketing,Eka Wijaya,3.75,False,18
C00111,Data Science Fundamentals 111,Business,Bima Santoso,4.51,False,27
C00112,Marketing Fundamentals 112,Marketing,Dimas Pratama,4.78,True,14
C00113,Programming Fundamentals 113,Data Science,Citra Dewi,3.63,False,11
C00114,Data Science Fundamentals 114,Design,Alya Putri,4.7,True,32
C00115,Design Fundamentals 115,Design,Eka Wijaya,4.01,True,39
C00116,Programming Fundamentals 116,Design,Dimas Pratama,4.11,False,24
C00117,Programming Fundamentals 117,Marketing,Dimas Pratama,4.2,False,6
C00118,Marketing Fundamentals 118,Design,Bima Santoso,4.8,False,10
C00119,Marketing Fundamentals 119,Marketing,Citra Dewi,4.45,False,15
C00120,Business Fundamentals 120,Marketing,Alya Putri,3.62,False,33
C00121,Marketing Fundamentals 121,Design,Citra Dewi,3.93,True,8
C00122,Design Fundamentals 122,Business,Alya Putri,4.32,False,31
C00123,Business Fundamentals 123,Design,Dimas Pratama,4.58,False,17
C00124,Marketing Fundamentals 124,Programming,Citra Dewi,4.73,True,7
C00125,Business Fundamentals 125,Business,Citra Dewi,4.48,False,16
C00126,Data Science Fundamentals 126,Design,Eka Wijaya,4.97,False,29
C00127,Programming Fundamentals 127,Programming,Alya Putri,3.5,True,21
C00128,Design Fundamentals 128,Marketing,Alya Putri,4.23,False,18
C00129,Business Fundamentals 129,Design,Dimas Pratama,4.13,True,6
C00130,Data Science Fundamentals 130,Design,Alya Putri,4.42,False,28
C00131,Business Fundamentals 131,Business,Alya Putri,4.25,False,23
C00132,Marketing Fundamentals 132,Marketing,Bima Santoso,3.72,False,14
C00133,Business Fundamentals 133,Marketing,Alya Putri,4.23,True,24
C00134,Data Science Fundamentals 134,Design,Eka Wijaya,4.06,True,21
C00135,Programming Fundamentals 135,Business,Citra Dewi,4.87,True,34
C00136,Marketing Fundamentals 136,Data Science,Eka Wijaya,4.95,True,21
C00137,Design Fundamentals 137,Data Science,Eka Wijaya,4.24,True,21
C00138,Programming Fundamentals 138,Programming,Bima Santoso,4.0,True,21
C00139,Design Fundamentals 139,Marketing,Bima Santoso,4.94,False,36
C00140,Design Fundamentals 140,Programming,Alya Putri,4.14,False,14
C00141,Business Fundamentals 141,Programming,Eka Wijaya,4.07,False,20
C00142,Marketing Fundamentals 142,Design,Alya Putri,4.16,False,28
C00143,Data Science Fundamentals 143,Design,Eka Wijaya,3.68,False,3
C00144,Design Fundamentals 144,Marketing,Bima Santoso,3.7,True,10
C00145,Marketing Fundamentals 145,Programming,Alya Putri,4.23,False,33
C00146,Design Fundamentals 146,Marketing,Citra Dewi,4.88,False,10
C00147,Programming Fundamentals 147,Programming,Dimas Pratama,4.24,True,16
C00148,Data Science Fundamentals 148,Programming,Alya Putri,3.72,False,7
C00149,Data Science Fundamentals 149,Business,Dimas Pratama,3.95,True,11
C00150,Business Fundamentals 150,Programming,Eka Wijaya,4.17,True,14
C00151,Design Fundamentals 151,Marketing,Eka Wijaya,4.35,True,6
C00152,Business Fundamentals 152,Programming,Eka Wijaya,4.14,False,3
C00153,Programming Fundamentals 153,Marketing,Alya Putri,4.0,True,34
C00154,Design Fundamentals 154,Business,Eka Wijaya,3.64,False,36
C00155,Business Fundamentals 155,Business,Alya Putri,3.67,True,13
C00156,Design Fundamentals 156,Marketing,Alya Putri,3.93,True,22
C00157,Programming Fundamentals 157,Data Science,Citra Dewi,3.94,True,35
C00158,Programming Fundamentals 158,Business,Bima Santoso,4.3,True,9
C00159,Marketing Fundamentals 159,Programming,Bima Santoso,4.2,False,12
C00160,Design Fundamentals 160,Programming,Alya Putri,4.93,True,18
C00161,Business Fundamentals 161,Business,Dimas Pratama,3.71,False,7
C00162,Marketing Fundamentals 162,Business,Citra Dewi,4.16,True,14
C00163,Marketing Fundamentals 163,Programming,Eka Wijaya,3.99,True,9
C00164,Business Fundamentals 164,Programming,Citra Dewi,4.6,True,2
C00165,Design Fundamentals 165,Marketing,Citra Dewi,4.39,False,21
C00166,Business Fundamentals 166,Business,Bima Santoso,3.51,False,8
C00167,Marketing Fundamentals 167,Business,Dimas Pratama,4.82,False,17
C00168,Marketing Fundamentals 168,Marketing,Bima Santoso,3.88,False,31
C00169,Data Science Fundamentals 169,Design,Alya Putri,3.56,True,23
C00170,Business Fundamentals 170,Data Science,Eka Wijaya,4.51,False,23
C00171,Marketing Fundamentals 171,Marketing,Dimas Pratama,4.93,True,30
C00172,Marketing Fundamentals 172,Data Science,Dimas Pratama,4.2,False,7
C00173,Programming Fundamentals 173,Marketing,Bima Santoso,3.57,True,39
C00174,Marketing Fundamentals 174,Programming,Citra Dewi,3.81,True,2
C00175,Programming Fundamentals 175,Marketing,Dimas Pratama,3.7,True,27
C00176,Business Fundamentals 176,Business,Eka Wijaya,4.38,False,10
C00177,Marketing Fundamentals 177,Marketing,Dimas Pratama,3.97,False,36
C00178,Data Science Fundamentals 178,Design,Alya Putri,4.91,True,2
C00179,Programming Fundamentals 179,Data Science,Bima Santoso,4.02,True,12
C00180,Programming Fundamentals 180,Programming,Eka Wijaya,3.89,True,4
C00181,Data Science Fundamentals 181,Programming,Dimas Pratama,4.43,False,12
C00182,Data Science Fundamentals 182,Marketing,Bima Santoso,4.94,False,37
C00183,Marketing Fundamentals 183,Business,Alya Putri,4.34,False,33
C00184,Data Science Fundamentals 184,Business,Eka Wijaya,4.42,False,6
C00185,Business Fundamentals 185,Business,Dimas Pratama,4.99,False,12
C00186,Programming Fundamentals 186,Design,Bima Santoso,3.69,True,38
C00187,Data Science Fundamentals 187,Data Science,Alya Putri,3.88,False,31
C00188,Programming Fundamentals 188,Programming,Dimas Pratama,4.82,True,6
C00189,Design Fundamentals 189,Programming,Bima Santoso,4.81,False,38
C00190,Design Fundamentals 190,Business,Eka Wijaya,3.65,True,7
C00191,Data Science Fundamentals 191,Data Science,Eka Wijaya,4.85,True,14
C00192,Design Fundamentals 192,Business,Bima Santoso,4.15,True,24
C00193,Marketing Fundamentals 193,Programming,Citra Dewi,4.04,True,24
C00194,Programming Fundamentals 194,Data Science,Bima Santoso,3.81,False,25
C00195,Data Science Fundamentals 195,Marketing,Citra Dewi,4.93,True,13
C00196,Business Fundamentals 196,Data Science,Citra Dewi,3.64,False,9
C00197,Design Fundamentals 197,Business,Citra Dewi,4.79,True,19
C00198,Business Fundamentals 198,Data Science,Alya Putri,4.2,True,35
C00199,Data Science Fundamentals 199,Programming,Alya Putri,4.42,False,32
C00200,Programming Fundamentals 200,Design,Bima Santoso,3.81,False,5
C00201,Marketing Fundamentals 201,Programming,Eka Wijaya,4.58,True,2
C00202,Business Fundamentals 202,Design,Alya Putri,4.2,False,34
C00203,Design Fundamentals 203,Programming,Citra Dewi,3.86,False,22
C00204,Marketing Fundamentals 204,Marketing,Alya Putri,4.39,False,37
C00205,Business Fundamentals 205,Data Science,Alya Putri,3.97,False,40
C00206,Marketing Fundamentals 206,Data Science,Eka Wijaya,4.9,False,13
C00207,Design Fundamentals 207,Programming,Bima Santoso,4.08,False,17
C00208,Data Science Fundamentals 208,Programming,Eka Wijaya,4.41,False,5
C00209,Data Science Fundamentals 209,Programming,Bima Santoso,3.93,True,13
C00210,Business Fundamentals 210,Marketing,Bima Santoso,4.05,True,12
C00211,Business Fundamentals 211,Programming,Bima Santoso,4.2,False,35
C00212,Design Fundamentals 212,Data Science,Eka Wijaya,4.69,True,24
C00213,Design Fundamentals 213,Design,Citra Dewi,4.73,False,32
C00214,Programming Fundamentals 214,Programming,Bima Santoso,4.12,False,26
C00215,Business Fundamentals 215,Design,Alya Putri,4.9,True,37
C00216,Design Fundamentals 216,Data Science,Alya Putri,4.03,False,33
C00217,Data Science Fundamentals 217,Programming,Dimas Pratama,3.74,True,12
C00218,Design Fundamentals 218,Programming,Eka Wijaya,4.1,False,6
C00219,Business Fundamentals 219,Design,Citra Dewi,4.15,False,24
C00220,Marketing Fundamentals 220,Programming,Alya Putri,4.61,False,23
C00221,Data Science Fundamentals 221,Marketing,Dimas Pratama,4.77,False,5
C00222,Marketing Fundamentals 222,Marketing,Citra Dewi,4.46,False,31
C00223,Business Fundamentals 223,Data Science,Dimas Pratama,4.79,False,29
C00224,Data Science Fundamentals 224,Design,Dimas Pratama,3.93,False,28
C00225,Design Fundamentals 225,Marketing,Eka Wijaya,3.9,True,29
C00226,Business Fundamentals 226,Data Science,Alya Putri,3.64,False,16
C00227,Data Science Fundamentals 227,Programming,Eka Wijaya,4.54,True,4
C00228,Data Science Fundamentals 228,Programming,Citra Dewi,4.51,True,6
C00229,Marketing Fundamentals 229,Marketing,Dimas Pratama,4.64,False,27
C00230,Design Fundamentals 230,Business,Alya Putri,4.3,True,25
C00231,Data Science Fundamentals 231,Design,Bima Santoso,4.03,False,24
C00232,Marketing Fundamentals 232,Business,Eka Wijaya,3.76,True,3
C00233,Business Fundamentals 233,Data Science,Dimas Pratama,4.19,True,38
C00234,Data Science Fundamentals 234,Marketing,Citra Dewi,4.86,True,28
C00235,Programming Fundamentals 235,Business,Eka Wijaya,4.28,False,36
C00236,Business Fundamentals 236,Marketing,Dimas Pratama,5.0,False,21
C00237,Design Fundamentals 237,Programming,Alya Putri,3.71,True,3
C00238,Data Science Fundamentals 238,Design,Eka Wijaya,3.56,True,10
C00239,Design Fundamentals 239,Design,Alya Putri,3.96,False,33
C00240,Design Fundamentals 240,Programming,Bima Santoso,4.0,True,30
C00241,Marketing Fundamentals 241,Design,Dimas Pratama,4.7,False,23
C00242,Programming Fundamentals 242,Design,Dimas Pratama,4.15,False,8
C00243,Design Fundamentals 243,Business,Alya Putri,4.72,False,21
C00244,Marketing Fundamentals 244,Business,Dimas Pratama,3.62,False,20
C00245,Programming Fundamentals 245,Data Science,Alya Putri,4.25,False,4
C00246,Programming Fundamentals 246,Data Science,Bima Santoso,4.31,True,23
C00247,Data Science Fundamentals 247,Programming,Alya Putri,4.82,False,2
C00248,Programming Fundamentals 248,Marketing,Bima Santoso,3.67,True,35
C00249,Marketing Fundamentals 249,Data Science,Bima Santoso,3.59,True,35
C00250,Marketing Fundamentals 250,Business,Dimas Pratama,4.09,False,17
C00251,Business Fundamentals 251,Marketing,Bima Santoso,4.93,False,17
C00252,Marketing Fundamentals 252,Marketing,Alya Putri,4.84,False,31
C00253,Programming Fundamentals 253,Business,Citra Dewi,4.71,False,16
C00254,Programming Fundamentals 254,Business,Citra Dewi,4.72,True,4
C00255,Programming Fundamentals 255,Marketing,Alya Putri,4.82,True,21
C00256,Marketing Fundamentals 256,Business,Alya Putri,3.73,True,18
C00257,Marketing Fundamentals 257,Design,Eka Wijaya,4.63,False,38
C00258,Data Science Fundamentals 258,Data Science,Citra Dewi,4.67,False,25
C00259,Design Fundamentals 259,Data Science,Citra Dewi,4.69,False,22
C00260,Programming Fundamentals 260,Data Science,Dimas Pratama,3.84,True,27
C00261,Marketing Fundamentals 261,Programming,Bima Santoso,4.57,True,12
C00262,Business Fundamentals 262,Marketing,Eka Wijaya,3.99,False,29
C00263,Data Science Fundamentals 263,Design,Dimas Pratama,4.99,True,34
C00264,Business Fundamentals 264,Design,Alya Putri,3.88,False,31
C00265,Business Fundamentals 265,Data Science,Bima Santoso,4.63,True,20
C00266,Data Science Fundamentals 266,Marketing,Alya Putri,4.44,False,37
C00267,Programming Fundamentals 267,Data Science,Citra Dewi,3.66,True,29
C00268,Marketing Fundamentals 268,Design,Eka Wijaya,3.78,True,22
C00269,Business Fundamentals 269,Design,Alya Putri,4.5,True,37
C00270,Design Fundamentals 270,Data Science,Eka Wijaya,3.61,True,10
C00271,Business Fundamentals 271,Programming,Alya Putri,4.74,False,9
C00272,Design Fundamentals 272,Marketing,Alya Putri,4.86,True,38
C00273,Programming Fundamentals 273,Marketing,Bima Santoso,4.33,True,30
C00274,Business Fundamentals 274,Programming,Bima Santoso,4.63,True,33
C00275,Design Fundamentals 275,Design,Bima Santoso,3.93,True,33
C00276,Design Fundamentals 276,Marketing,Dimas Pratama,4.71,False,35
C00277,Design Fundamentals 277,Business,Eka Wijaya,4.19,True,26
C00278,Design Fundamentals 278,Business,Eka Wijaya,3.53,True,36
C00279,Marketing Fundamentals 279,Marketing,Alya Putri,3.64,True,3
C00280,Business Fundamentals 280,Marketing,Citra Dewi,3.52,False,21
C00281,Programming Fundamentals 281,Marketing,Dimas Pratama,4.57,True,32
C00282,Data Science Fundamentals 282,Marketing,Bima Santoso,4.86,True,23
C00283,Marketing Fundamentals 283,Programming,Dimas Pratama,3.81,False,29
C00284,Marketing Fundamentals 284,Data Science,Citra Dewi,4.73,False,7
C00285,Data Science Fundamentals 285,Business,Alya Putri,3.57,False,11
C00286,Business Fundamentals 286,Marketing,Citra Dewi,3.81,False,6
C00287,Data Science Fundamentals 287,Marketing,Citra Dewi,3.74,True,25
C00288,Business Fundamentals 288,Business,Eka Wijaya,4.25,True,22
C00289,Marketing Fundamentals 289,Business,Bima Santoso,4.53,False,24
C00290,Marketing Fundamentals 290,Business,Alya Putri,4.83,True,23
C00291,Design Fundamentals 291,Data Science,Dimas Pratama,4.38,True,24
C00292,Programming Fundamentals 292,Data Science,Alya Putri,4.92,True,30
C00293,Design Fundamentals 293,Business,Citra Dewi,3.82,False,32
C00294,Design Fundamentals 294,Design,Eka Wijaya,3.8,True,2
C00295,Marketing Fundamentals 295,Design,Alya Putri,4.2,False,21
C00296,Design Fundamentals 296,Data Science,Dimas Pratama,4.2,False,28
C00297,Programming Fundamentals 297,Business,Alya Putri,3.78,True,24
C00298,Data Science Fundamentals 298,Design,Dimas Pratama,4.72,False,25
C00299,Design Fundamentals 299,Marketing,Alya Putri,4.47,True,30
C00300,Programming Fundamentals 300,Programming,Eka Wijaya,3.87,False,16
C00301,Programming Fundamentals 301,Business,Bima Santoso,3.93,False,5
C00302,Programming Fundamentals 302,Programming,Citra Dewi,3.76,False,28
C00303,Programming Fundamentals 303,Programming,Dimas Pratama,4.6,False,39
C00304,Data Science Fundamentals 304,Marketing,Bima Santoso,4.59,True,14
C00305,Design Fundamentals 305,Marketing,Dimas Pratama,4.43,False,20
C00306,Marketing Fundamentals 306,Programming,Eka Wijaya,4.26,True,10
C00307,Programming Fundamentals 307,Data Science,Bima Santoso,4.68,True,36
C00308,Business Fundamentals 308,Marketing,Dimas Pratama,3.91,True,16
C00309,Marketing Fundamentals 309,Programming,Eka Wijaya,4.88,False,3
C00310,Business Fundamentals 310,Marketing,Dimas Pratama,3.83,True,14
C00311,Programming Fundamentals 311,Data Science,Alya Putri,4.96,False,21
C00312,Design Fundamentals 312,Data Science,Alya Putri,4.11,True,29
C00313,Programming Fundamentals 313,Marketing,Bima Santoso,4.58,False,19
C00314,Business Fundamentals 314,Design,Eka Wijaya,4.96,False,40
C00315,Design Fundamentals 315,Design,Alya Putri,3.97,True,27
C00316,Data Science Fundamentals 316,Data Science,Bima Santoso,3.96,False,16
C00317,Design Fundamentals 317,Marketing,Citra Dewi,4.57,True,31
C00318,Design Fundamentals 318,Data Science,Bima Santoso,4.13,True,10
C00319,Data Science Fundamentals 319,Data Science,Alya Putri,4.62,True,25
C00320,Design Fundamentals 320,Marketing,Alya Putri,3.64,False,36
C00321,Marketing Fundamentals 321,Data Science,Alya Putri,3.91,False,29
C00322,Programming Fundamentals 322,Business,Dimas Pratama,3.93,False,7
C00323,Design Fundamentals 323,Design,Alya Putri,4.67,True,39
C00324,Design Fundamentals 324,Business,Eka Wijaya,3.57,True,12
C00325,Design Fundamentals 325,Design,Dimas Pratama,4.54,True,34
C00326,Programming Fundamentals 326,Design,Citra Dewi,4.14,False,4
C00327,Data Science Fundamentals 327,Marketing,Alya Putri,3.77,False,23
C00328,Programming Fundamentals 328,Design,Citra Dewi,4.88,True,33
C00329,Business Fundamentals 329,Data Science,Bima Santoso,3.7,True,15
C00330,Marketing Fundamentals 330,Programming,Bima Santoso,4.73,False,25
C00331,Data Science Fundamentals 331,Data Science,Alya Putri,3.73,False,28
C00332,Programming Fundamentals 332,Marketing,Dimas Pratama,3.75,False,15
C00333,Programming Fundamentals 333,Design,Eka Wijaya,4.22,True,17
C00334,Business Fundamentals 334,Design,Dimas Pratama,3.75,True,13
C00335,Business Fundamentals 335,Business,Citra Dewi,3.61,False,36
C00336,Design Fundamentals 336,Design,Dimas Pratama,4.21,False,24
C00337,Business Fundamentals 337,Design,Eka Wijaya,4.01,False,37
C00338,Data Science Fundamentals 338,Marketing,Dimas Pratama,4.89,True,9
C00339,Marketing Fundamentals 339,Marketing,Bima Santoso,4.4,True,15
C00340,Design Fundamentals 340,Business,Eka Wijaya,4.37,True,8
C00341,Design Fundamentals 341,Design,Eka Wijaya,3.86,False,12
C00342,Marketing Fundamentals 342,Programming,Alya Putri,4.51,True,4
C00343,Design Fundamentals 343,Marketing,Citra Dewi,4.94,False,21
C00344,Business Fundamentals 344,Marketing,Dimas Pratama,4.85,False,37
C00345,Data Science Fundamentals 345,Marketing,Eka Wijaya,4.1,False,22
C00346,Programming Fundamentals 346,Design,Eka Wijaya,3.59,False,37
C00347,Programming Fundamentals 347,Marketing,Bima Santoso,4.66,True,8
C00348,Data Science Fundamentals 348,Programming,Eka Wijaya,4.08,True,17
C00349,Data Science Fundamentals 349,Marketing,Dimas Pratama,4.34,False,35
C00350,Marketing Fundamentals 350,Programming,Bima Santoso,4.88,False,31
C00351,Marketing Fundamentals 351,Business,Alya Putri,4.42,True,8
C00352,Data Science Fundamentals 352,Marketing,Citra Dewi,4.24,False,36
C00353,Design Fundamentals 353,Marketing,Citra Dewi,4.3,True,9
C00354,Marketing Fundamentals 354,Marketing,Citra Dewi,4.05,False,20
C00355,Design Fundamentals 355,Design,Eka Wijaya,4.65,True,7
C00356,Design Fundamentals 356,Design,Citra Dewi,4.3,True,18
C00357,Design Fundamentals 357,Data Science,Bima Santoso,3.86,True,18
C00358,Business Fundamentals 358,Programming,Eka Wijaya,4.88,True,3
C00359,Design Fundamentals 359,Business,Bima Santoso,3.99,True,18
C00360,Data Science Fundamentals 360,Business,Alya Putri,3.82,False,16
C00361,Design Fundamentals 361,Marketing,Bima Santoso,3.66,False,2
C00362,Business Fundamentals 362,Design,Citra Dewi,4.23,True,29
C00363,Business Fundamentals 363,Design,Dimas Pratama,3.56,False,27
C00364,Design Fundamentals 364,Marketing,Eka Wijaya,4.17,False,35
C00365,Programming Fundamentals 365,Data Science,Eka Wijaya,4.65,True,29
C00366,Data Science Fundamentals 366,Programming,Bima Santoso,3.61,True,2
C00367,Marketing Fundamentals 367,Data Science,Citra Dewi,4.52,True,34
C00368,Design Fundamentals 368,Design,Dimas Pratama,3.71,False,11
C00369,Business Fundamentals 369,Design,Eka Wijaya,4.17,False,27
C00370,Marketing Fundamentals 370,Business,Bima Santoso,3.55,False,4
C00371,Data Science Fundamentals 371,Design,Citra Dewi,3.6,False,29
C00372,Programming Fundamentals 372,Programming,Citra Dewi,4.67,False,10
C00373,Data Science Fundamentals 373,Marketing,Alya Putri,4.49,False,31
C00374,Marketing Fundamentals 374,Marketing,Dimas Pratama,3.71,True,14
C00375,Design Fundamentals 375,Design,Bima Santoso,3.51,False,37
C00376,Data Science Fundamentals 376,Programming,Eka Wijaya,3.51,False,22
C00377,Design Fundamentals 377,Business,Alya Putri,3.81,False,34
C00378,Data Science Fundamentals 378,Marketing,Bima Santoso,4.55,False,30
C00379,Data Science Fundamentals 379,Marketing,Citra Dewi,4.5,False,6
C00380,Marketing Fundamentals 380,Marketing,Bima Santoso,4.15,True,29
C00381,Marketing Fundamentals 381,Data Science,Alya Putri,3.52,True,16
C00382,Data Science Fundamentals 382,Design,Citra Dewi,3.63,False,27
C00383,Marketing Fundamentals 383,Programming,Citra Dewi,4.44,True,15
C00384,Data Science Fundamentals 384,Data Science,Bima Santoso,3.88,True,25
