learner_id,plan,billing_period,amount,status
L00157,Pro,monthly,19.99,active
L00326,Pro,yearly,19.99,active
L00602,Free,monthly,0,cancelled
L00821,Free,monthly,0,expired
L00131,Free,monthly,0,expired
L00865,Free,monthly,0,cancelled
L00416,Pro,monthly,19.99,cancelled
L00863,Pro,yearly,19.99,cancelled
L00303,Pro,yearly,19.99,expired
L00022,Plus,monthly,9.99,cancelled
L00493,Pro,yearly,19.99,cancelled
L00832,Plus,monthly,9.99,active
L00806,Free,yearly,0,active
L00418,Pro,monthly,19.99,expired
L00005,Free,yearly,0,active
L00201,Free,monthly,0,active
L00946,Pro,monthly,19.99,expired
L00332,Free,monthly,0,cancelled
L00480,Plus,monthly,9.99,expired
L00157,Plus,monthly,9.99,expired
L00419,Free,yearly,0,expired
L00336,Free,yearly,0,expired
L00498,Free,yearly,0,active
L00690,Free,monthly,0,expired
L00337,Pro,monthly,19.99,expired
L00685,Pro,yearly,19.99,cancelled
L00593,Pro,monthly,19.99,cancelled
L00142,Plus,yearly,9.99,expired
L00299,Pro,yearly,19.99,expired
L00024,Pro,monthly,19.99,expired
L00789,Plus,monthly,9.99,cancelled
L00846,Plus,yearly,9.99,expired
L00925,Free,yearly,0,expired
L00415,Pro,yearly,19.99,expired
L00804,Free,monthly,0,expired
L00871,Pro,yearly,19.99,expired
L00393,Free,yearly,0,expired
L00372,Free,yearly,0,cancelled
L00043,Free,yearly,0,expired
L00411,Plus,monthly,9.99,active
L00423,Free,yearly,0,active
L00358,Free,monthly,0,cancelled
L00149,Pro,yearly,19.99,cancelled
L00270,Pro,yearly,19.99,active
L00509,Pro,monthly,19.99,active
L00764,Plus,monthly,9.99,cancelled
L00934,Plus,yearly,9.99,active
L00913,Free,yearly,0,cancelled
L00152,Free,monthly,0,active
L00685,Plus,monthly,9.99,active
L00665,Plus,monthly,9.99,active
L00570,Plus,yearly,9.99,expired
L00365,Pro,yearly,19.99,cancelled
L00512,Plus,yearly,9.99,cancelled
L00080,Free,yearly,0,cancelled
L00693,Free,monthly,0,expired
L00114,Free,monthly,0,expired
L00097,Pro,monthly,19.99,active
L00796,Pro,monthly,19.99,expired
L00797,Plus,monthly,9.99,cancelled
L00323,Free,yearly,0,expired
L00716,Plus,monthly,9.99,expired
L00061,Free,yearly,0,expired
L00295,Pro,yearly,19.99,active
L00103,Free,monthly,0,cancelled
L00803,Free,yearly,0,cancelled
L00595,Free,yearly,0,expired
L00528,Free,monthly,0,expired
L00314,Free,monthly,0,expired
L00593,Pro,monthly,19.99,expired
L00989,Pro,monthly,19.99,active
L00611,Pro,monthly,19.99,expired
L00032,Free,yearly,0,active
L00686,Pro,monthly,19.99,active
L00620,Plus,monthly,9.99,active
L00936,Pro,yearly,19.99,expired
L00124,Pro,yearly,19.99,cancelled
L00227,Pro,monthly,19.99,expired
L00830,Pro,yearly,19.99,expired
L00209,Pro,monthly,19.99,expired
L00601,Pro,monthly,19.99,cancelled
L00764,Free,yearly,0,cancelled
L00686,Plus,monthly,9.99,expired
L00362,Plus,monthly,9.99,expired
L00053,Plus,yearly,9.99,cancelled
L00797,Free,monthly,0,cancelled
L00893,Pro,yearly,19.99,cancelled
L00046,Plus,yearly,9.99,cancelled
L00455,Plus,monthly,9.99,active
L00376,Free,monthly,0,cancelled
L00879,Pro,monthly,19.99,cancelled
L00364,Plus,monthly,9.99,active
L00376,Free,monthly,0,expired
L00602,Pro,yearly,19.99,cancelled
L00189,Pro,monthly,19.99,expired
L00913,Pro,yearly,19.99,active
L00655,Free,yearly,0,cancelled
L00065,Free,monthly,0,expired
L00456,Plus,monthly,9.99,active
L00775,Pro,monthly,19.99,expired
L00346,Free,monthly,0,expired
L00881,Plus,monthly,9.99,cancelled
L00837,Pro,monthly,19.99,cancelled
L00405,Pro,monthly,19.99,expired
L00283,Free,yearly,0,active
L00935,Pro,monthly,19.99,expired
L00594,Plus,yearly,9.99,cancelled
L00301,Pro,yearly,19.99,cancelled
L00159,Free,monthly,0,expired
L00525,Pro,monthly,19.99,cancelled
L00636,Pro,yearly,19.99,active
L00217,Free,monthly,0,active
L00589,Free,yearly,0,expired
L00475,Free,monthly,0,expired
L00116,Free,monthly,0,cancelled
L00651,Plus,yearly,9.99,expired
L00361,Plus,monthly,9.99,active
L00623,Pro,monthly,19.99,cancelled
L00624,Plus,yearly,9.99,expired
L00952,Pro,monthly,19.99,expired
L00230,Plus,yearly,9.99,active
L00853,Free,monthly,0,expired
L00890,Pro,yearly,19.99,expired
L00491,Free,monthly,0,expired
L00972,Free,monthly,0,expired
L00288,Plus,yearly,9.99,cancelled
L00929,Plus,yearly,9.99,active
L00708,Plus,yearly,9.99,active
L00350,Pro,monthly,19.99,active
L00848,Free,yearly,0,active
L00653,Pro,yearly,19.99,expired
L00090,Pro,monthly,19.99,cancelled
L00148,Pro,yearly,19.99,cancelled
L00361,Free,yearly,0,active
L00358,Plus,yearly,9.99,expired
L00209,Pro,yearly,19.99,expired
L00444,Pro,monthly,19.99,expired
L00840,Pro,monthly,19.99,expired
L00394,Pro,monthly,19.99,cancelled
L00853,Pro,yearly,19.99,cancelled
L00498,Pro,yearly,19.99,expired
L00560,Pro,monthly,19.99,expired
L00853,Free,monthly,0,cancelled
L00342,Free,monthly,0,expired
L00110,Pro,yearly,19.99,expired
L00946,Plus,monthly,9.99,expired
L00776,Pro,monthly,19.99,expired
L00027,Plus,monthly,9.99,cancelled
L00914,Free,monthly,0,expired
L00427,Pro,monthly,19.99,active
L00518,Free,yearly,0,expired
L00961,Pro,monthly,19.99,expired
L00530,Plus,yearly,9.99,expired
L00669,Pro,yearly,19.99,active
L00259,Plus,monthly,9.99,active
L00380,Free,yearly,0,cancelled
L00717,Pro,yearly,19.99,expired
L00859,Plus,yearly,9.99,cancelled
L00259,Plus,yearly,9.99,active
L00937,Pro,monthly,19.99,cancelled
L00546,Free,monthly,0,cancelled
L00454,Pro,monthly,19.99,cancelled
L00269,Pro,monthly,19.99,cancelled
L00329,Plus,monthly,9.99,active
L00665,Free,yearly,0,active
L00767,Pro,yearly,19.99,active
L00993,Plus,monthly,9.99,active
L00067,Pro,yearly,19.99,cancelled
L00251,Plus,monthly,9.99,cancelled
L00604,Free,monthly,0,active
L00753,Plus,monthly,9.99,expired
L00744,Free,monthly,0,expired
L00071,Pro,yearly,19.99,cancelled
L00766,Plus,monthly,9.99,expired
L00686,Plus,yearly,9.99,expired
L00634,Free,yearly,0,active
L00531,Pro,monthly,19.99,expired
L00858,Free,monthly,0,active
L00110,Plus,yearly,9.99,cancelled
L00659,Free,yearly,0,active
L00227,Pro,yearly,19.99,cancelled
L00913,Plus,monthly,9.99,cancelled
L00140,Plus,monthly,9.99,cancelled
L00109,Plus,yearly,9.99,expired
L00433,Free,monthly,0,cancelled
L00079,Pro,yearly,19.99,expired
L00053,Plus,monthly,9.99,expired
L00739,Plus,monthly,9.99,cancelled
L00457,Plus,yearly,9.99,active
L00763,Free,monthly,0,cancelled
L00127,Plus,yearly,9.99,active
L00712,Free,monthly,0,cancelled
L00443,Plus,yearly,9.99,cancelled
L00563,Pro,yearly,19.99,active
L00107,Free,yearly,0,cancelled
L00085,Pro,monthly,19.99,cancelled
L00860,Free,yearly,0,expired
L00161,Pro,yearly,19.99,active
L00393,Plus,monthly,9.99,cancelled
L00447,Plus,yearly,9.99,expired
L00857,Plus,monthly,9.99,expired
L00935,Free,yearly,0,active
L00435,Free,monthly,0,active
L00544,Plus,monthly,9.99,active
L00190,Free,monthly,0,cancelled
L00304,Free,monthly,0,active
L00289,Pro,monthly,19.99,active
L00420,Plus,monthly,9.99,cancelled
L00874,Plus,monthly,9.99,active
L00134,Free,yearly,0,active
L00112,Free,monthly,0,active
L00553,Free,yearly,0,expired
L00606,Pro,monthly,19.99,active
L00728,Plus,yearly,9.99,cancelled
L00157,Plus,yearly,9.99,cancelled
L00854,Free,yearly,0,expired
L00084,Free,yearly,0,active
L00364,Pro,yearly,19.99,active
L00804,Pro,monthly,19.99,active
L00485,Free,monthly,0,active
L00807,Plus,monthly,9.99,cancelled
L00955,Pro,monthly,19.99,cancelled
L00355,Free,yearly,0,expired
L00077,Pro,yearly,19.99,active
L00037,Pro,yearly,19.99,cancelled
L00776,Free,yearly,0,expired
L00438,Free,monthly,0,cancelled
L00839,Free,monthly,0,cancelled
L00546,Free,yearly,0,expired
L00736,Plus,monthly,9.99,cancelled
L00783,Plus,monthly,9.99,active
L00709,Pro,monthly,19.99,cancelled
L00740,Free,monthly,0,cancelled
L00145,Pro,monthly,19.99,expired
L00975,Free,monthly,0,cancelled
L00027,Free,monthly,0,expired
L00982,Plus,yearly,9.99,cancelled
L00189,Plus,yearly,9.99,expired
L00374,Free,yearly,0,active
L00276,Free,yearly,0,active
L00744,Free,yearly,0,cancelled
L00256,Pro,yearly,19.99,active
L00747,Pro,monthly,19.99,active
L00489,Pro,yearly,19.99,active
L00281,Pro,monthly,19.99,expired
L00305,Pro,monthly,19.99,active
L00795,Pro,yearly,19.99,cancelled
L00794,Pro,monthly,19.99,cancelled
L00050,Pro,yearly,19.99,cancelled
L00102,Free,monthly,0,cancelled
L00012,Free,monthly,0,active
L00414,Free,yearly,0,expired
L00341,Free,monthly,0,expired
L00935,Free,yearly,0,cancelled
L00989,Pro,yearly,19.99,expired
L00712,Plus,monthly,9.99,active
L00302,Plus,yearly,9.99,expired
L00042,Plus,yearly,9.99,active
L00931,Plus,yearly,9.99,active
L00683,Plus,monthly,9.99,cancelled
L00233,Free,yearly,0,expired
L00562,Plus,yearly,9.99,cancelled
L00616,Free,yearly,0,active
L00729,Pro,monthly,19.99,active
L00108,Free,monthly,0,expired
L00192,Plus,monthly,9.99,expired
L00258,Free,monthly,0,expired
L00395,Free,yearly,0,cancelled
L00130,Plus,monthly,9.99,active
L00890,Plus,monthly,9.99,expired
L00011,Plus,yearly,9.99,active
L00887,Plus,yearly,9.99,active
L00431,Plus,yearly,9.99,expired
L00861,Free,monthly,0,expired
L00175,Free,monthly,0,cancelled
L00621,Plus,monthly,9.99,cancelled
L00014,Free,monthly,0,expired
L00410,Pro,monthly,19.99,active
L00139,Plus,monthly,9.99,expired
L00147,Pro,monthly,19.99,active
L00141,Free,monthly,0,cancelled
L00948,Free,yearly,0,cancelled
L00248,Free,monthly,0,cancelled
L00117,Pro,yearly,19.99,cancelled
L00470,Pro,yearly,19.99,expired
L00990,Pro,monthly,19.99,expired
L00687,Free,monthly,0,expired
L00283,Plus,monthly,9.99,active
L00848,Free,monthly,0,active
L00944,Pro,yearly,19.99,expired
L00180,Pro,yearly,19.99,expired
L00706,Pro,yearly,19.99,active
L00026,Free,monthly,0,expired
L00914,Plus,yearly,9.99,expired
L00942,Plus,yearly,9.99,cancelled
L00076,Plus,yearly,9.99,active
L00919,Pro,monthly,19.99,cancelled
L00822,Plus,yearly,9.99,active
L00255,Plus,monthly,9.99,expired
L00850,Pro,yearly,19.99,expired
L00863,Plus,monthly,9.99,cancelled
L00245,Pro,yearly,19.99,active
L00551,Plus,yearly,9.99,expired
L00200,Pro,yearly,19.99,expired
L00105,Pro,monthly,19.99,expired
L00931,Free,yearly,0,cancelled
L00545,Plus,monthly,9.99,active
L00467,Pro,yearly,19.99,active
L00855,Free,yearly,0,active
L00003,Free,monthly,0,active
L00026,Plus,monthly,9.99,active
L00989,Pro,yearly,19.99,active
L00990,Free,monthly,0,cancelled
L00808,Free,yearly,0,cancelled
L00947,Free,monthly,0,active
L00731,Pro,monthly,19.99,cancelled
L00941,Pro,monthly,19.99,expired
L00279,Free,yearly,0,expired
L00870,Free,yearly,0,cancelled
L00270,Free,yearly,0,active
L00473,Free,monthly,0,expired
L00793,Pro,monthly,19.99,expired
L00171,Free,monthly,0,expired
L00168,Pro,monthly,19.99,expired
L00375,Free,monthly,0,cancelled
L00329,Pro,monthly,19.99,active
L00664,Free,yearly,0,cancelled
L00955,Pro,yearly,19.99,active
L00571,Plus,yearly,9.99,active
L00560,Plus,monthly,9.99,expired
L00495,Free,yearly,0,active
L00048,Plus,monthly,9.99,active
L00787,Plus,monthly,9.99,cancelled
L00473,Plus,monthly,9.99,cancelled
L00154,Pro,monthly,19.99,active
L00364,Free,yearly,0,expired
L00535,Plus,yearly,9.99,active
L00026,Free,monthly,0,active
L00599,Pro,yearly,19.99,active
L00650,Plus,monthly,9.99,expired
L00066,Pro,monthly,19.99,cancelled
L00277,Plus,yearly,9.99,active
L00469,Pro,yearly,19.99,expired
L00522,Pro,yearly,19.99,active
L00350,Pro,monthly,19.99,active
L00490,Plus,monthly,9.99,active
L00016,Free,yearly,0,expired
L00410,Free,monthly,0,cancelled
L00414,Plus,monthly,9.99,active
L00684,Pro,monthly,19.99,active
L00697,Plus,yearly,9.99,active
L00588,Pro,yearly,19.99,cancelled
L00174,Pro,yearly,19.99,expired
L00376,Pro,monthly,19.99,cancelled
L00063,Free,monthly,0,cancelled
L00810,Free,yearly,0,active
L00478,Plus,yearly,9.99,active
L00736,Free,monthly,0,cancelled
L00935,Plus,yearly,9.99,active
L00213,Plus,yearly,9.99,expired
L00490,Plus,monthly,9.99,cancelled
L00177,Free,yearly,0,cancelled
L00239,Plus,monthly,9.99,cancelled
L00365,Plus,monthly,9.99,active
L00256,Pro,yearly,19.99,cancelled
L00850,Plus,monthly,9.99,cancelled
L00473,Plus,monthly,9.99,active
L00376,Pro,yearly,19.99,expired
L00217,Plus,yearly,9.99,cancelled
L00654,Pro,yearly,19.99,cancelled
L00897,Free,monthly,0,active
L00845,Pro,yearly,19.99,active
L00870,Pro,yearly,19.99,cancelled
L00088,Free,monthly,0,cancelled
L00046,Plus,yearly,9.99,active
L00364,Free,yearly,0,active
L00027,Pro,monthly,19.99,cancelled
L00452,Plus,yearly,9.99,expired
L00116,Pro,monthly,19.99,active
L00044,Plus,monthly,9.99,active
L00229,Plus,monthly,9.99,expired
L00074,Plus,monthly,9.99,active
L00748,Free,monthly,0,cancelled
L00847,Plus,monthly,9.99,cancelled
L00586,Plus,monthly,9.99,expired
L00587,Plus,monthly,9.99,active
L00557,Plus,monthly,9.99,expired
L00722,Free,monthly,0,active
L00605,Plus,monthly,9.99,cancelled
L00603,Plus,monthly,9.99,active
L00679,Pro,yearly,19.99,cancelled
L00114,Plus,yearly,9.99,cancelled
L00290,Free,monthly,0,active
L00921,Pro,yearly,19.99,expired
L00297,Free,yearly,0,expired
L00237,Pro,monthly,19.99,active
L00538,Plus,yearly,9.99,cancelled
L00620,Plus,monthly,9.99,active
L00392,Pro,yearly,19.99,expired
L00497,Plus,monthly,9.99,expired
L00902,Pro,monthly,19.99,expired
L00899,Free,yearly,0,active
L00330,Plus,monthly,9.99,expired
L00530,Plus,monthly,9.99,active
L00754,Pro,monthly,19.99,expired
L00627,Pro,yearly,19.99,active
L00237,Free,yearly,0,cancelled
L00327,Plus,yearly,9.99,expired
L00819,Pro,yearly,19.99,active
L00759,Plus,monthly,9.99,active
L00835,Free,monthly,0,expired
L00540,Free,monthly,0,cancelled
L00007,Plus,yearly,9.99,expired
L00730,Pro,yearly,19.99,cancelled
L00176,Plus,yearly,9.99,active
L00237,Free,monthly,0,active
L00884,Plus,yearly,9.99,cancelled
L00997,Pro,monthly,19.99,active
L00426,Plus,yearly,9.99,expired
L00088,Plus,monthly,9.99,active
L00350,Plus,yearly,9.99,cancelled
L00464,Plus,yearly,9.99,active
L00161,Pro,monthly,19.99,expired
L00553,Plus,monthly,9.99,expired
L00159,Pro,yearly,19.99,cancelled
L00302,Plus,monthly,9.99,expired
L00339,Free,yearly,0,expired
L00715,Pro,yearly,19.99,cancelled
L00650,Plus,yearly,9.99,cancelled
L00423,Pro,yearly,19.99,expired
L00077,Pro,monthly,19.99,active
L00511,Free,monthly,0,cancelled
L00209,Free,monthly,0,cancelled
L00099,Plus,yearly,9.99,expired
L00126,Pro,monthly,19.99,active
L00519,Pro,yearly,19.99,cancelled
L00606,Free,yearly,0,expired
L00236,Pro,yearly,19.99,active
L00732,Pro,yearly,19.99,expired
L00122,Free,monthly,0,expired
L00286,Free,monthly,0,expired
L00994,Plus,yearly,9.99,expired
L00146,Plus,monthly,9.99,expired
L00342,Plus,monthly,9.99,active
L00267,Plus,yearly,9.99,active
L00479,Plus,monthly,9.99,active
L00526,Free,yearly,0,active
L00293,Plus,yearly,9.99,expired
L00736,Free,yearly,0,active
L00328,Pro,monthly,19.99,expired
L00984,Free,monthly,0,active
L00308,Free,yearly,0,expired
L00834,Free,monthly,0,active
L00639,Pro,yearly,19.99,cancelled
L00157,Plus,yearly,9.99,cancelled
L00942,Pro,yearly,19.99,cancelled
L00110,Pro,yearly,19.99,cancelled
L00413,Plus,monthly,9.99,cancelled
L00600,Free,yearly,0,active
L00894,Pro,monthly,19.99,expired
L00206,Plus,monthly,9.99,cancelled
L00819,Free,monthly,0,expired
L00304,Pro,yearly,19.99,active
L00675,Plus,yearly,9.99,expired
L00503,Plus,yearly,9.99,active
L00390,Plus,monthly,9.99,active
L00163,Free,yearly,0,active
L00510,Plus,yearly,9.99,expired
L00448,Plus,monthly,9.99,cancelled
L00649,Pro,monthly,19.99,active
L00195,Plus,monthly,9.99,cancelled
L00799,Plus,yearly,9.99,active
L00660,Plus,monthly,9.99,expired
L00498,Free,yearly,0,active
L00794,Pro,monthly,19.99,active
L00655,Free,monthly,0,active
L00605,Free,yearly,0,expired
L00701,Plus,yearly,9.99,active
L00190,Plus,monthly,9.99,cancelled
L00247,Pro,yearly,19.99,active
L00268,Plus,yearly,9.99,expired
L00279,Free,monthly,0,expired
L00408,Plus,yearly,9.99,cancelled
L00786,Plus,yearly,9.99,active
L00811,Pro,yearly,19.99,cancelled
L00074,Plus,monthly,9.99,cancelled
L00456,Plus,monthly,9.99,cancelled
L00701,Plus,monthly,9.99,active
L00714,Pro,yearly,19.99,cancelled
L00354,Plus,yearly,9.99,active
L00609,Pro,monthly,19.99,active
L00765,Plus,yearly,9.99,cancelled
L00618,Pro,yearly,19.99,cancelled
L00806,Plus,monthly,9.99,expired
L00708,Plus,yearly,9.99,expired
L00376,Plus,monthly,9.99,expired
L00789,Free,yearly,0,active
L00223,Pro,yearly,19.99,active
L00162,Free,yearly,0,cancelled
L00530,Plus,monthly,9.99,active
L00308,Pro,yearly,19.99,cancelled
L00493,Plus,monthly,9.99,active
L00968,Pro,monthly,19.99,expired
L00027,Plus,monthly,9.99,active
L00858,Pro,yearly,19.99,active
L00767,Pro,monthly,19.99,expired
L00608,Free,yearly,0,cancelled
L00338,Plus,yearly,9.99,active
L00142,Plus,yearly,9.99,cancelled
L00835,Pro,yearly,19.99,expired
L00499,Plus,monthly,9.99,expired
L00625,Free,yearly,0,cancelled
L00410,Free,monthly,0,expired
L00043,Plus,monthly,9.99,active
L00520,Free,monthly,0,expired
L00793,Plus,monthly,9.99,active
L00287,Plus,monthly,9.99,expired
L00256,Free,monthly,0,cancelled
L00425,Pro,monthly,19.99,expired
L00380,Free,yearly,0,cancelled
L00495,Plus,monthly,9.99,active
L00732,Plus,yearly,9.99,expired
L00042,Pro,monthly,19.99,active
L00944,Plus,yearly,9.99,expired
L00374,Free,monthly,0,active
L00262,Plus,monthly,9.99,expired
L00658,Pro,yearly,19.99,cancelled
L00680,Pro,monthly,19.99,active
L00466,Plus,yearly,9.99,expired
L00972,Pro,monthly,19.99,expired
L00596,Plus,monthly,9.99,expired
L00070,Plus,monthly,9.99,expired
L00376,Free,yearly,0,expired
L00003,Pro,monthly,19.99,cancelled
L00748,Plus,yearly,9.99,active
L00957,Free,monthly,0,active
L00189,Pro,yearly,19.99,cancelled
L00133,Pro,yearly,19.99,expired
L00221,Pro,yearly,19.99,cancelled
L00574,Plus,yearly,9.99,expired
L00999,Pro,yearly,19.99,active
L00377,Pro,monthly,19.99,expired
L00490,Plus,monthly,9.99,cancelled
L00143,Plus,monthly,9.99,expired
L00449,Free,monthly,0,expired
L00790,Plus,monthly,9.99,cancelled
L00390,Plus,monthly,9.99,cancelled
L00463,Free,monthly,0,active
L00923,Pro,yearly,19.99,cancelled
L00136,Pro,monthly,19.99,expired
L00814,Plus,yearly,9.99,expired
L00662,Free,monthly,0,expired
L00457,Free,yearly,0,cancelled
L00545,Plus,monthly,9.99,active
L00985,Pro,monthly,19.99,cancelled
L00839,Free,monthly,0,active
L00117,Plus,yearly,9.99,cancelled
L00500,Free,yearly,0,cancelled
L00126,Pro,yearly,19.99,active
L00593,Free,yearly,0,active
L00298,Pro,yearly,19.99,active
L00387,Pro,yearly,19.99,active
L00285,Plus,yearly,9.99,expired
L00337,Plus,monthly,9.99,cancelled
L00072,Plus,yearly,9.99,active
L00570,Plus,monthly,9.99,expired
L00805,Plus,monthly,9.99,cancelled
L00172,Free,monthly,0,cancelled
L00761,Plus,yearly,9.99,expired
L00412,Free,monthly,0,cancelled
L00735,Free,monthly,0,active
L00771,Free,yearly,0,cancelled
L00159,Free,yearly,0,expired
L00809,Free,monthly,0,cancelled
L00448,Plus,yearly,9.99,cancelled
L00955,Plus,monthly,9.99,expired
L00603,Pro,monthly,19.99,active
L00370,Pro,yearly,19.99,expired
L00916,Pro,yearly,19.99,cancelled
L00156,Pro,yearly,19.99,expired
L00893,Plus,yearly,9.99,cancelled
L00266,Plus,yearly,9.99,expired
L00249,Plus,monthly,9.99,expired
L00609,Pro,yearly,19.99,active
L00576,Free,yearly,0,active
L00128,Plus,monthly,9.99,expired
L00214,Pro,monthly,19.99,active
L00338,Pro,monthly,19.99,cancelled
L00075,Pro,monthly,19.99,cancelled
L00990,Pro,yearly,19.99,active
L00566,Plus,monthly,9.99,expired
