learner_id,course_id,activity_type,study_duration_minutes,activity_date
L00640,C00017,add_to_wishlist,79,2025-10-15
L00377,C00339,like,22,2026-05-22
L00176,C00169,complete,154,2025-10-19
L00897,C00113,enroll,213,2025-12-23
L00433,C00039,add_to_wishlist,239,2025-12-01
L00484,C00356,like,165,2026-05-31
L00649,C00043,add_to_wishlist,87,2026-04-11
L00584,C00402,enroll,54,2025-09-05
L00056,C00462,add_to_wishlist,140,2025-10-31
L00643,C00476,skip,51,2026-03-06
L00789,C00139,complete,181,2025-10-01
L00140,C00207,add_to_wishlist,205,2026-03-16
L00173,C00368,skip,62,2025-12-07
L00395,C00286,like,145,2025-10-12
L00173,C00044,enroll,18,2025-09-26
L00593,C00226,complete,27,2026-01-21
L00763,C00113,complete,64,2026-04-13
L00783,C00358,like,194,2026-03-28
L00786,C00287,skip,72,2025-10-25
L00968,C00192,enroll,32,2026-06-27
L00005,C00104,complete,40,2026-06-28
L00805,C00473,skip,91,2026-07-08
L00285,C00162,like,166,2026-01-26
L00341,C00404,like,66,2026-05-06
L00653,C00427,complete,105,2026-08-11
L00977,C00243,like,34,2025-11-28
L00525,C00047,skip,209,2026-07-21
L00984,C00420,like,167,2025-11-15
L00340,C00390,skip,135,2026-06-02
L00828,C00450,enroll,123,2025-12-14
L00432,C00152,like,130,2025-09-13
L00992,C00433,enroll,127,2026-05-22
L00434,C00152,add_to_wishlist,222,2026-04-17
L00052,C00232,complete,116,2026-07-02
L00279,C00198,add_to_wishlist,54,2025-10-12
L00568,C00149,add_to_wishlist,58,2026-07-19
L00884,C00394,complete,211,2025-10-13
L00334,C00419,like,110,2026-06-23
L00778,C00380,complete,19,2026-05-02
L00388,C00421,enroll,58,2026-08-16
L00498,C00362,complete,145,2026-05-07
L00714,C00072,enroll,39,2025-12-23
L00285,C00160,add_to_wishlist,160,2026-01-30
L00799,C00494,complete,114,2026-03-20
L00889,C00373,complete,172,2026-06-12
L00286,C00081,enroll,39,2026-01-28
L00054,C00439,add_to_wishlist,173,2026-03-26
L00029,C00004,complete,54,2025-11-27
L00650,C00073,add_to_wishlist,24,2026-02-03
L00122,C00243,skip,1,2025-10-29
L00059,C00088,enroll,198,2026-03-27
L00293,C00455,skip,82,2026-05-25
L00326,C00079,add_to_wishlist,86,2025-10-17
L00262,C00134,skip,48,2026-02-05
L00831,C00344,complete,164,2025-12-05
L00144,C00096,skip,115,2025-09-04
L00003,C00472,complete,101,2025-10-19
L00237,C00279,add_to_wishlist,71,2026-05-09
L00759,C00221,skip,50,2026-03-06
L00645,C00033,complete,209,2026-07-03
L00892,C00239,skip,110,2026-04-16
L00013,C00159,complete,197,2026-07-26
L00108,C00041,like,47,2026-06-23
L00107,C00134,like,218,2026-07-18
L00808,C00451,complete,24,2026-07-24
L00768,C00270,complete,147,2026-01-31
L00553,C00296,enroll,53,2026-08-18
L00933,C00199,add_to_wishlist,162,2026-02-20
L00161,C00326,add_to_wishlist,82,2026-02-19
L00188,C00469,enroll,124,2025-09-19
L00132,C00066,enroll,177,2025-10-16
L00282,C00475,skip,208,2025-11-15
L00899,C00172,complete,57,2026-04-17
L00392,C00175,add_to_wishlist,179,2026-06-14
L00933,C00059,add_to_wishlist,110,2025-11-21
L00049,C00154,add_to_wishlist,50,2025-11-06
L00578,C00473,enroll,231,2026-07-28
L00771,C00316,enroll,194,2025-12-21
L00276,C00478,like,35,2026-02-20
L00796,C00045,complete,13,2025-12-04
L00628,C00027,enroll,118,2025-11-11
L00957,C00462,skip,41,2026-04-19
L00556,C00018,like,72,2026-05-11
L00772,C00434,add_to_wishlist,120,2025-09-08
L00118,C00084,complete,131,2026-03-11
L00004,C00325,enroll,185,2026-07-18
L00012,C00326,like,105,2026-07-26
L00664,C00146,complete,45,2026-07-27
L00911,C00268,enroll,132,2026-03-17
L00760,C00198,skip,79,2026-04-02
L00876,C00362,like,112,2026-04-21
L00672,C00057,like,179,2026-06-24
L00152,C00352,like,104,2025-12-31
L00676,C00213,skip,112,2025-12-17
L00065,C00300,skip,227,2026-05-24
L00950,C00263,enroll,160,2026-01-23
L00312,C00019,enroll,21,2026-06-21
L00807,C00014,add_to_wishlist,173,2026-06-28
L00925,C00173,skip,189,2026-01-29
L00178,C00358,complete,207,2026-01-25
L00286,C00370,add_to_wishlist,15,2026-08-23
L00218,C00166,enroll,204,2026-08-26
L00044,C00252,enroll,4,2026-06-04
L00721,C00126,like,212,2026-03-24
L00772,C00310,skip,16,2026-07-06
L00514,C00216,add_to_wishlist,155,2025-12-05
L00205,C00500,like,11,2026-06-28
L00459,C00220,complete,169,2026-02-02
L00747,C00471,add_to_wishlist,193,2025-10-16
L00955,C00084,skip,201,2026-04-25
L00669,C00062,like,153,2026-01-18
L00009,C00275,complete,175,2026-04-10
L00687,C00040,add_to_wishlist,170,2026-03-09
L00203,C00276,add_to_wishlist,24,2025-11-02
L00955,C00191,skip,2,2025-09-11
L00768,C00340,skip,106,2026-03-02
L01000,C00239,add_to_wishlist,31,2025-11-20
L00476,C00246,skip,115,2026-03-27
L00096,C00275,add_to_wishlist,21,2026-07-13
L00008,C00464,skip,11,2025-09-10
L00504,C00173,enroll,158,2026-05-28
L00421,C00416,skip,161,2026-07-27
L00072,C00304,add_to_wishlist,93,2026-01-12
L00757,C00113,skip,189,2025-10-08
L00418,C00404,like,27,2025-09-20
L00808,C00056,like,207,2026-07-21
L00988,C00134,skip,119,2025-10-13
L00221,C00144,complete,126,2026-02-26
L00901,C00018,enroll,163,2025-12-24
L00113,C00315,complete,174,2025-10-31
L00518,C00443,enroll,207,2025-11-22
L00452,C00249,enroll,201,2025-09-26
L00231,C00073,skip,74,2026-09-02
L00993,C00151,enroll,174,2026-06-03
L00381,C00068,complete,36,2026-05-03
L00678,C00266,add_to_wishlist,197,2026-04-06
L00207,C00365,complete,219,2025-10-23
L00044,C00396,complete,122,2026-08-06
L00590,C00314,add_to_wishlist,180,2026-07-27
L00038,C00378,skip,229,2026-08-26
L00621,C00183,enroll,89,2025-12-24
L00989,C00001,complete,174,2026-07-18
L00056,C00115,like,104,2026-07-22
L00692,C00077,complete,210,2026-07-19
L00822,C00222,like,17,2026-01-06
L00327,C00086,complete,238,2026-07-30
L00566,C00453,complete,188,2026-09-01
L00433,C00125,like,46,2025-12-03
L00353,C00219,add_to_wishlist,180,2025-10-09
L00971,C00227,add_to_wishlist,212,2026-06-10
L00618,C00380,skip,14,2025-12-03
L00884,C00017,skip,156,2026-07-22
L00023,C00353,complete,103,2025-12-09
L00177,C00139,enroll,111,2026-05-12
L00151,C00058,enroll,13,2026-01-04
L00729,C00366,add_to_wishlist,223,2025-10-25
L00057,C00309,add_to_wishlist,12,2026-02-16
L00796,C00129,complete,132,2025-09-05
L00511,C00385,complete,136,2026-05-08
L00418,C00226,like,81,2025-11-26
L00969,C00321,like,208,2026-05-18
L00970,C00115,skip,167,2026-08-26
L00036,C00129,like,182,2025-11-27
L00862,C00214,complete,73,2026-08-15
L00957,C00463,enroll,195,2026-05-15
L00724,C00197,add_to_wishlist,119,2026-04-16
L00698,C00369,skip,176,2026-03-17
L00629,C00133,enroll,147,2026-01-23
L00113,C00302,like,228,2026-02-02
L00379,C00175,complete,57,2025-12-23
L00042,C00362,complete,212,2026-09-01
L00087,C00035,add_to_wishlist,152,2026-06-15
L00819,C00335,enroll,210,2026-02-10
L00430,C00410,skip,92,2025-09-29
L00739,C00051,add_to_wishlist,121,2026-03-22
L00383,C00437,add_to_wishlist,34,2025-09-14
L00534,C00074,add_to_wishlist,27,2026-02-24
L00542,C00076,complete,197,2026-07-20
L00402,C00305,complete,184,2026-06-21
L00370,C00234,complete,101,2026-05-21
L00396,C00027,skip,167,2026-08-14
L00836,C00289,add_to_wishlist,64,2026-03-26
L00370,C00246,like,230,2025-11-18
L00418,C00177,complete,102,2026-04-09
L00155,C00182,enroll,4,2025-11-23
L00022,C00114,complete,117,2026-02-22
L00240,C00345,enroll,10,2026-01-10
L00175,C00092,skip,97,2025-11-17
L00054,C00142,enroll,46,2025-10-27
L00815,C00332,add_to_wishlist,201,2026-02-27
L00668,C00065,add_to_wishlist,7,2026-04-14
L00291,C00315,like,92,2025-12-06
L00915,C00353,enroll,27,2026-06-14
L00473,C00439,add_to_wishlist,39,2026-06-01
L00566,C00454,complete,113,2025-10-22
L00070,C00458,like,71,2026-05-06
L00420,C00039,add_to_wishlist,73,2026-03-13
L00728,C00085,enroll,44,2025-10-15
L00906,C00260,enroll,50,2025-09-15
L00115,C00403,add_to_wishlist,51,2026-05-30
L00250,C00141,add_to_wishlist,239,2025-12-15
L00574,C00195,add_to_wishlist,169,2025-12-02
L00224,C00070,complete,180,2026-05-14
L00543,C00232,add_to_wishlist,140,2026-04-21
L00865,C00090,skip,35,2025-12-21
L00624,C00292,enroll,106,2025-11-02
L00599,C00073,add_to_wishlist,151,2026-04-17
L00649,C00135,complete,111,2025-11-09
L00145,C00417,like,79,2026-08-24
L00351,C00433,like,101,2025-11-20
L00535,C00312,complete,124,2026-01-09
L00155,C00137,enroll,7,2025-12-28
L00582,C00274,skip,162,2026-03-02
L00575,C00472,complete,223,2026-02-26
L00429,C00286,skip,209,2026-01-01
L00122,C00294,complete,145,2026-08-30
L00883,C00498,enroll,25,2026-03-28
L00647,C00007,skip,10,2026-02-03
L00613,C00024,skip,222,2026-06-09
L00244,C00034,like,123,2025-10-01
L00122,C00177,enroll,134,2026-01-07
L00583,C00475,add_to_wishlist,160,2025-10-24
L00317,C00051,complete,49,2025-11-19
L00833,C00450,enroll,204,2026-04-16
L00927,C00303,complete,63,2025-12-25
L00216,C00406,add_to_wishlist,35,2026-03-28
L00655,C00497,enroll,233,2026-06-16
L00913,C00097,complete,167,2026-07-08
L00549,C00148,skip,161,2026-06-08
L00552,C00500,like,140,2026-08-24
L00735,C00166,like,35,2026-07-02
L00715,C00240,skip,16,2026-04-18
L00977,C00348,complete,179,2026-02-26
L00121,C00344,skip,128,2026-03-06
L00079,C00178,like,140,2026-01-16
L00835,C00300,add_to_wishlist,6,2026-01-05
L00659,C00495,add_to_wishlist,205,2026-08-12
L00670,C00089,enroll,17,2026-03-22
L00145,C00287,enroll,238,2026-01-18
L00062,C00477,skip,119,2026-08-31
L00328,C00378,add_to_wishlist,164,2026-04-12
L00121,C00304,add_to_wishlist,179,2026-07-04
L00765,C00286,add_to_wishlist,4,2026-05-06
L00029,C00273,skip,230,2026-01-08
L00574,C00432,complete,147,2026-05-28
L00606,C00422,like,164,2025-11-08
L00843,C00026,skip,18,2025-10-24
L00606,C00409,add_to_wishlist,234,2025-10-23
L00721,C00081,skip,179,2026-08-17
L00453,C00429,enroll,205,2026-06-18
L00929,C00328,complete,50,2026-06-04
L00646,C00340,skip,88,2026-05-13
L00197,C00199,enroll,212,2026-06-30
L00536,C00425,skip,25,2025-12-12
L00147,C00027,complete,214,2026-03-17
L00864,C00040,add_to_wishlist,44,2026-05-31
L00960,C00321,add_to_wishlist,99,2025-10-19
L00767,C00473,complete,136,2025-12-09
L00096,C00417,enroll,0,2025-09-14
L00031,C00048,enroll,4,2026-06-25
L00522,C00441,complete,49,2026-04-25
L00332,C00425,like,170,2026-08-10
L00700,C00213,add_to_wishlist,99,2025-09-07
L00120,C00451,add_to_wishlist,211,2025-09-05
L00865,C00030,like,218,2026-06-20
L00979,C00112,enroll,158,2025-09-08
L00522,C00106,complete,4,2026-01-08
L00954,C00157,skip,142,2026-09-01
L00683,C00181,enroll,81,2025-10-07
L00301,C00445,enroll,122,2025-10-25
L00350,C00491,like,50,2026-03-24
L00294,C00224,skip,126,2025-09-18
L00154,C00182,complete,11,2025-09-07
L00559,C00009,like,96,2026-04-15
L00858,C00143,like,191,2026-02-27
L00688,C00461,add_to_wishlist,238,2025-12-10
L00932,C00326,complete,133,2026-01-31
L00120,C00114,like,99,2025-09-09
L00426,C00045,enroll,134,2026-02-13
L00230,C00081,skip,36,2025-09-27
L00893,C00247,add_to_wishlist,69,2025-10-26
L00567,C00176,skip,77,2026-05-05
L00941,C00233,complete,86,2026-03-30
L00943,C00410,complete,203,2026-06-11
L00908,C00244,enroll,100,2025-12-08
L00281,C00371,complete,207,2025-12-06
L00039,C00116,add_to_wishlist,51,2025-12-02
L00046,C00083,enroll,56,2026-07-25
L00138,C00270,complete,140,2025-09-06
L00932,C00252,like,108,2026-03-16
L00182,C00430,add_to_wishlist,237,2026-01-05
L00124,C00482,like,162,2026-01-26
L00828,C00009,skip,178,2026-05-11
L00031,C00125,like,54,2025-10-17
L00610,C00142,add_to_wishlist,4,2026-03-22
L00799,C00103,complete,19,2026-05-12
L00688,C00278,enroll,225,2026-05-31
L00636,C00136,complete,35,2025-11-07
L00340,C00070,skip,78,2026-05-23
L00040,C00185,enroll,73,2026-04-06
L00349,C00251,complete,15,2026-05-19
L00553,C00227,skip,146,2025-10-09
L00465,C00225,skip,20,2025-09-25
L00418,C00127,add_to_wishlist,70,2025-10-23
L00522,C00317,complete,150,2026-04-05
L00654,C00358,skip,46,2025-12-21
L00470,C00451,add_to_wishlist,0,2026-07-03
L00315,C00440,skip,114,2025-11-18
L00723,C00369,like,37,2026-06-16
L00072,C00021,like,42,2025-10-14
L00632,C00288,enroll,84,2025-11-17
L00377,C00123,like,39,2026-08-09
L00256,C00360,enroll,185,2025-10-28
L00766,C00450,add_to_wishlist,18,2025-12-02
L00915,C00280,like,205,2025-09-29
L00200,C00103,complete,125,2025-12-01
L00388,C00021,enroll,132,2026-05-03
L00660,C00149,like,68,2025-10-05
L00227,C00334,complete,119,2026-07-03
L00960,C00354,enroll,171,2026-01-19
L00583,C00317,like,143,2025-10-14
L00080,C00188,add_to_wishlist,188,2026-07-06
L00403,C00498,like,168,2026-05-16
L00462,C00409,like,72,2025-12-31
L00684,C00080,enroll,82,2025-11-17
L00569,C00237,add_to_wishlist,211,2026-02-14
L00803,C00361,enroll,89,2026-03-04
L00214,C00485,enroll,111,2026-01-17
L00855,C00408,like,136,2026-07-01
L00424,C00416,skip,30,2026-02-14
L00721,C00245,skip,115,2025-09-28
L00319,C00433,skip,105,2025-12-31
L00407,C00375,enroll,126,2025-09-11
L00400,C00153,enroll,188,2026-07-22
L00353,C00056,complete,63,2025-12-21
L00387,C00462,skip,209,2025-10-07
L00140,C00270,skip,108,2026-06-30
L00869,C00272,like,90,2025-10-16
L00848,C00446,skip,169,2025-11-22
L00635,C00278,skip,146,2025-09-22
L00662,C00421,like,114,2026-07-01
L00131,C00087,like,208,2026-06-29
L00769,C00129,add_to_wishlist,140,2025-12-02
L00629,C00287,add_to_wishlist,214,2025-09-17
L00822,C00206,like,188,2026-02-26
L00954,C00131,skip,112,2026-01-18
L00165,C00362,skip,80,2026-04-10
L00374,C00318,enroll,121,2026-05-28
L00261,C00014,add_to_wishlist,219,2025-11-14
L00068,C00435,like,196,2026-08-30
L00167,C00098,skip,230,2026-03-22
L00883,C00442,enroll,4,2026-05-14
L00852,C00354,skip,40,2025-10-01
L00728,C00446,add_to_wishlist,106,2026-06-07
L00083,C00473,enroll,185,2025-09-15
L00850,C00495,complete,141,2026-01-18
L00833,C00203,skip,48,2026-01-21
L00994,C00057,skip,230,2026-03-05
L00761,C00489,like,33,2026-08-15
L00069,C00488,enroll,217,2026-04-16
L00824,C00216,enroll,118,2025-10-07
L00585,C00304,like,206,2026-04-29
L00821,C00329,add_to_wishlist,169,2026-07-16
L00494,C00211,add_to_wishlist,150,2026-06-27
L00207,C00111,complete,208,2025-12-11
L00358,C00470,add_to_wishlist,133,2025-10-04
L00641,C00019,like,220,2026-07-13
L00367,C00414,complete,9,2026-03-11
L00320,C00051,enroll,81,2025-10-11
L00127,C00268,like,134,2025-10-25
L00286,C00112,enroll,86,2025-11-06
L00992,C00109,enroll,75,2026-07-31
L00644,C00137,complete,6,2025-12-20
L00816,C00108,add_to_wishlist,53,2026-05-06
L00672,C00036,enroll,38,2025-12-07
L00961,C00362,complete,148,2025-11-13
L00248,C00076,complete,96,2026-02-18
L00631,C00420,complete,51,2026-04-13
L00844,C00069,skip,158,2026-06-21
L00595,C00187,add_to_wishlist,108,2026-05-04
L00596,C00460,enroll,207,2026-03-08
L00662,C00451,complete,117,2026-08-05
L00955,C00011,enroll,143,2026-03-20
L00297,C00090,add_to_wishlist,205,2026-08-14
L00215,C00344,enroll,195,2026-05-28
L00286,C00096,complete,11,2026-06-12
L00292,C00425,skip,126,2026-08-23
L00476,C00243,complete,162,2025-10-04
L00657,C00043,add_to_wishlist,236,2026-06-10
L00263,C00384,skip,152,2025-11-19
L00148,C00470,skip,71,2026-05-12
L00641,C00322,add_to_wishlist,7,2026-01-05
L00738,C00339,add_to_wishlist,222,2026-06-18
L00025,C00091,like,3,2026-01-18
L00367,C00119,enroll,147,2026-04-25
L00237,C00235,add_to_wishlist,117,2026-08-06
L00647,C00069,enroll,44,2025-10-20
L00856,C00122,complete,39,2026-02-19
L00377,C00492,complete,70,2025-12-18
L00005,C00336,enroll,24,2025-11-30
L00193,C00174,skip,141,2026-09-01
L00961,C00226,complete,31,2026-02-17
L00941,C00215,enroll,146,2025-11-23
L00591,C00042,like,9,2026-06-03
L00587,C00182,complete,8,2026-08-01
L00614,C00273,skip,89,2026-01-24
L00190,C00197,complete,84,2026-01-03
L00302,C00235,enroll,135,2026-02-01
L00135,C00078,complete,161,2026-06-28
L00246,C00461,complete,214,2026-01-25
L00966,C00295,like,70,2026-05-23
L00982,C00222,add_to_wishlist,119,2026-06-13
L00324,C00007,like,216,2025-12-22
L01000,C00231,enroll,184,2026-03-08
L00283,C00151,complete,99,2026-08-18
L00607,C00455,skip,54,2025-10-13
L00983,C00128,add_to_wishlist,101,2026-08-14
L00540,C00322,like,133,2026-08-25
L00522,C00106,enroll,32,2026-04-29
L00546,C00447,complete,84,2025-10-21
L00577,C00306,enroll,199,2025-10-18
L00359,C00262,skip,17,2026-05-28
L00625,C00246,enroll,17,2026-05-27
L00827,C00318,add_to_wishlist,70,2026-01-04
L00028,C00017,like,115,2025-09-06
L00301,C00422,complete,201,2026-04-06
L00009,C00203,skip,69,2026-05-19
L00817,C00320,enroll,199,2026-03-02
L00421,C00410,like,63,2025-12-17
L00303,C00055,skip,106,2026-06-12
L00697,C00115,complete,203,2026-03-03
L00877,C00403,enroll,146,2026-02-07
L00639,C00394,complete,132,2026-03-09
L00279,C00154,skip,44,2025-10-23
L00548,C00177,add_to_wishlist,155,2026-02-16
L00932,C00438,like,193,2026-05-21
L00849,C00130,enroll,145,2026-06-03
L00518,C00308,enroll,209,2026-08-30
L00898,C00311,skip,125,2025-10-20
L00561,C00274,enroll,152,2026-07-11
L00526,C00118,add_to_wishlist,177,2025-09-08
L00232,C00469,complete,96,2026-07-21
L00678,C00013,like,97,2025-09-23
L00561,C00217,complete,161,2025-09-17
L00060,C00252,skip,0,2026-06-16
L00622,C00233,like,186,2026-04-23
L00584,C00160,like,101,2026-01-11
L00493,C00126,skip,152,2026-08-19
L00277,C00029,add_to_wishlist,28,2025-11-09
L00018,C00162,like,1,2025-11-26
L00224,C00443,complete,204,2026-02-16
L00832,C00443,add_to_wishlist,164,2025-10-31
L00260,C00386,enroll,108,2026-08-18
L00686,C00473,complete,195,2026-07-31
L00500,C00497,skip,174,2025-10-31
L00514,C00086,complete,46,2025-11-05
L00910,C00426,complete,169,2026-01-13
L00333,C00387,enroll,81,2025-09-16
